,name,short_name,gender,birth_date,birth_place,birth_country,country,country_code,discipline,discipline_code,residence_place,residence_country,height_m/ft,url
2026,PORTEOUS Miguel,PORTEOUS M,Male,1999-05-14,HAMILTON,New Zealand,New Zealand,NZL,Freestyle Skiing,FRS,WANAKA,New Zealand,,../../../en/results/freestyle-skiing/athlete-profile-n1055036-miguel-porteous.htm
2027,PORTEOUS Nico,PORTEOUS N,Male,2001-11-23,HAMILTON,New Zealand,New Zealand,NZL,Freestyle Skiing,FRS,WANAKA,New Zealand,,../../../en/results/freestyle-skiing/athlete-profile-n1055037-nico-porteous.htm
2028,PORTUNOVA Julia,PORTUNOVA J,Female,1994-05-04,KALININGRAD,Russian Federation,ROC,ROC,Curling,CUR,KALININGRAD,Russian Federation,,../../../en/results/curling/athlete-profile-n1036539-julia-portunova.htm
2029,PORTYK Tomas,PORTYK T,Male,1996-04-06,JILEMNICE,Czech Republic,Czech Republic,CZE,Nordic Combined,NCB,LOMNICE NAD POPELKOU,Czech Republic,,../../../en/results/nordic-combined/athlete-profile-n1033629-tomas-portyk.htm
2030,POSPISIL Kristian,POSPISIL K,Male,1996-04-22,ZVOLEN,Slovakia,Slovakia,SVK,Ice Hockey,IHO,DAVOS,Switzerland,1.87/6'1'',../../../en/results/ice-hockey/athlete-profile-n1044367-kristian-pospisil.htm
2031,POULIN Marie-Philip,POULIN MP,Female,1991-03-28,"QUEBEC CITY, QC",Canada,Canada,CAN,Ice Hockey,IHO,"BEAUCEVILLE, QC",Canada,1.70/5'6'',../../../en/results/ice-hockey/athlete-profile-n1036283-marie-philip-poulin.htm
2032,POULSEN Morten,POULSEN M,Male,1988-09-09,HERNING,Denmark,Denmark,DEN,Ice Hockey,IHO,HERNING,Denmark,1.86/6'1'',../../../en/results/ice-hockey/athlete-profile-n1032235-morten-poulsen.htm
2033,POUTSMA Selma,POUTSMA S,Female,1999-05-14,THE HAGUE,Netherlands,Netherlands,NED,Short Track Speed Skating,STK,HEERENVEEN,Netherlands,,../../../en/results/short-track-speed-skating/athlete-profile-n1054306-selma-poutsma.htm
2034,POWER Owen,POWER O,Male,2002-11-22,"MISSISSAUGA, ON",Canada,Canada,CAN,Ice Hockey,IHO,"ANN ARBOR, MI",United States of America,1.98/6'5'',../../../en/results/ice-hockey/athlete-profile-n1140550-owen-power.htm
2035,PRALONG Candide,PRALONG C,Male,1990-09-24,ORSIERES,Switzerland,Switzerland,SUI,Cross-Country Skiing,CCS,NYON,Switzerland,1.85/6'0'',../../../en/results/cross-country-skiing/athlete-profile-n1049797-candide-pralong.htm
2036,PREUSS Franziska,PREUSS F,Female,1994-03-11,WASSERBURG AM INN,Germany,Germany,GER,Biathlon,BTH,RUHPOLDING,Germany,,../../../en/results/biathlon/athlete-profile-n1012717-franziska-preuss.htm
2037,PREVC Cene,PREVC C,Male,1996-03-12,KRANJ,Slovenia,Slovenia,SLO,Ski Jumping,SJP,KRANJ,Slovenia,,../../../en/results/ski-jumping/athlete-profile-n1050934-cene-prevc.htm
2038,PREVC Peter,PREVC P,Male,1992-09-20,KRANJ,Slovenia,Slovenia,SLO,Ski Jumping,SJP,RADOVLJICA,Slovenia,,../../../en/results/ski-jumping/athlete-profile-n1051163-peter-prevc.htm
2039,PRIBOSIC Urska,PRIBOSIC U,Female,1990-07-26,JESENICE,Slovenia,Slovenia,SLO,Snowboard,SBD,BLED,Slovenia,,../../../en/results/snowboard/athlete-profile-n1051180-urska-pribosic.htm
2040,PRIBYLOVA Vendula,PRIBYLOVA V,Female,1996-03-23,OLOMOUC,Czech Republic,Czech Republic,CZE,Ice Hockey,IHO,UNICOV,Czech Republic,1.70/5'6'',../../../en/results/ice-hockey/athlete-profile-n1055681-vendula-pribylova.htm
2041,PROCHAZKOVA Alena,PROCHAZKOVA A,Female,1984-08-09,BANSKA BYSTRICA,Slovakia,Slovakia,SVK,Cross-Country Skiing,CCS,BANSKA BYSTRICA,Slovakia,,../../../en/results/cross-country-skiing/athlete-profile-n1053113-alena-prochazkova.htm
2042,PROCK Hannah,PROCK H,Female,2000-02-02,INNSBRUCK,Austria,Austria,AUT,Luge,LUG,MIEDERS,Austria,,../../../en/results/luge/athlete-profile-n1004371-hannah-prock.htm
2043,PROKHOROV Iurii,PROKHOROV I,Male,1991-11-11,DMITROV,USSR,ROC,ROC,Luge,LUG,DMITROV,Russian Federation,,../../../en/results/luge/athlete-profile-n1016394-iurii-prokhorov.htm
2044,PROMMEGGER Andreas,PROMMEGGER A,Male,1980-11-10,SCHWARZACH IM PONGAU,Austria,Austria,AUT,Snowboard,SBD,SALZBURG,Austria,,../../../en/results/snowboard/athlete-profile-n1005482-andreas-prommegger.htm
2045,PROSVIRNOVA Sofia,PROSVIRNOVA S,Female,1997-12-20,ST. PETERSBURG,Russian Federation,ROC,ROC,Short Track Speed Skating,STK,ST. PETERSBURG,Russian Federation,,../../../en/results/short-track-speed-skating/athlete-profile-n1037940-sofia-prosvirnova.htm
2046,PROULX SENECAL Simon,PROULX SENECAL S,Male,1991-12-06,"MONTREAL, QC",Canada,Armenia,ARM,Figure Skating,FSK,"MONTREAL, QC",Canada,,../../../en/results/figure-skating/athlete-profile-n1044449-simon-proulx-senecal.htm
2047,PROVOROVA Yelena,PROVOROVA Y,Female,2001-11-22,NIZHNY NOVGOROD,Russian Federation,ROC,ROC,Ice Hockey,IHO,,,1.65/5'4'',../../../en/results/ice-hockey/athlete-profile-n1056278-yelena-provorova.htm
2048,PRYMA Artem,PRYMA A,Male,1987-05-30,CHERNIHIV,USSR,Ukraine,UKR,Biathlon,BTH,CHERNIHIV,Ukraine,,../../../en/results/biathlon/athlete-profile-n1045937-artem-pryma.htm
2049,PRYTKOVA Anastasiia,PRYTKOVA A,Female,2002-11-02,YAROSLAVL,Russian Federation,ROC,ROC,Freestyle Skiing,FRS,YAROSLAVL,Russian Federation,,../../../en/results/freestyle-skiing/athlete-profile-n1041098-anastasiia-prytkova.htm
2050,PU Rui,PU R,Female,2001-04-07,PUER,People's Republic of China,People's Republic of China,CHN,Freestyle Skiing,FRS,ZHANGJIAKOU,People's Republic of China,,../../../en/results/freestyle-skiing/athlete-profile-n1058301-rui-pu.htm
2051,PUCHNER Mirjam,PUCHNER M,Female,1992-05-18,SCHWARZACH,Austria,Austria,AUT,Alpine Skiing,ALP,SALZBURG,Austria,,../../../en/results/alpine-skiing/athlete-profile-n1005326-mirjam-puchner.htm
2052,PUDAS Jonathan,PUDAS J,Male,1993-04-26,KIRUNA,Sweden,Sweden,SWE,Ice Hockey,IHO,SKELLEFTEA,Sweden,1.79/5'10'',../../../en/results/ice-hockey/athlete-profile-n1050844-jonathan-pudas.htm
2053,PUEYO Jaume,PUEYO J,Male,2001-10-12,,Spain,Spain,ESP,Cross-Country Skiing,CCS,URGELL,Spain,,../../../en/results/cross-country-skiing/athlete-profile-n1043349-jaume-pueyo.htm
2054,PUKHKALO Vitaliy,PUKHKALO V,Male,1992-09-09,PRESNOGORKOVKA,Kazakhstan,Kazakhstan,KAZ,Cross-Country Skiing,CCS,KOSTANAY,Kazakhstan,,../../../en/results/cross-country-skiing/athlete-profile-n1048095-vitaliy-pukhkalo.htm
2055,PULLES Mariel Merlii,PULLES MM,Female,1998-11-01,OTEPAA,Estonia,Estonia,EST,Cross-Country Skiing,CCS,OTEPAA,Estonia,,../../../en/results/cross-country-skiing/athlete-profile-n1035363-mariel-merlii-pulles.htm
2056,PUNNENOVS Ivars,PUNNENOVS I,Male,1994-05-30,RIGA,Latvia,Latvia,LAT,Ice Hockey,IHO,LANGNAU IM EMMENTAL,Switzerland,1.85/6'0'',../../../en/results/ice-hockey/athlete-profile-n1037261-ivars-punnenovs.htm
2057,PUSKARCIKOVA Eva,PUSKARCIKOVA E,Female,1991-01-03,JILEMNICE,Czech Republic,Czech Republic,CZE,Biathlon,BTH,HARRACHOV,Czech Republic,,../../../en/results/biathlon/athlete-profile-n1034263-eva-puskarcikova.htm
2058,PYJAS Pawel,PYJAS P,Male,1999-03-23,KRAKOW,Poland,Poland,POL,Alpine Skiing,ALP,KRAKOW,Poland,,../../../en/results/alpine-skiing/athlete-profile-n1032102-pawel-pyjas.htm
2059,PYKALAINEN Erika,PYKALAINEN E,Female,2001-04-21,HYVINKAA,Finland,Finland,FIN,Alpine Skiing,ALP,HYVINKAA,Finland,,../../../en/results/alpine-skiing/athlete-profile-n1013074-erika-pykalainen.htm
2060,QI Guangpu,QI G,Male,1990-10-20,XUZHOU,People's Republic of China,People's Republic of China,CHN,Freestyle Skiing,FRS,SHENYANG,People's Republic of China,,../../../en/results/freestyle-skiing/athlete-profile-n1059126-guangpu-qi.htm
2061,QIU Leng,QIU L,Female,1997-09-29,"QINHUANGDAO, HEBEI",People's Republic of China,People's Republic of China,CHN,Snowboard,SBD,,People's Republic of China,,../../../en/results/snowboard/athlete-profile-n1057729-leng-qiu.htm
2062,QU Chunyu,QU C,Female,1996-07-20,BEI'AN,People's Republic of China,People's Republic of China,CHN,Short Track Speed Skating,STK,HARBIN,People's Republic of China,,../../../en/results/short-track-speed-skating/athlete-profile-n1057889-chunyu-qu.htm
2063,QUENNEC Kaleigh,QUENNEC K,Female,1998-02-15,VUISTERNENS-DEVANT-ROMONT,Switzerland,Switzerland,SUI,Ice Hockey,IHO,,,1.72/5'7'',../../../en/results/ice-hockey/athlete-profile-n1049801-kaleigh-quennec.htm
2064,QUEYREL Alexia,QUEYREL A,Female,1999-06-03,BRIANCON,France,France,FRA,Snowboard,SBD,VILLARD-SAINT-PANCRACE,France,,../../../en/results/snowboard/athlete-profile-n1035868-alexia-queyrel.htm
2065,QUINN Ian,QUINN I,Male,1993-07-21,"ST. LOUIS, MO",United States of America,United States of America,USA,Speed Skating,SSK,"WEST JORDAN, UT",United States of America,1.75/5'8'',../../../en/results/speed-skating/athlete-profile-n1037441-ian-quinn.htm
2066,QUINTANA Carlos Andres,QUINTANA CA,Male,1985-02-16,PEREIRA,Colombia,Colombia,COL,Cross-Country Skiing,CCS,LA RIOJA,Andorra,,../../../en/results/cross-country-skiing/athlete-profile-n1045907-carlos-andres-quintana.htm
2067,QUINTIN Lena,QUINTIN L,Female,1998-05-17,ANNECY,France,France,FRA,Cross-Country Skiing,CCS,DINGY SAINT CLAIR,France,,../../../en/results/cross-country-skiing/athlete-profile-n1035824-lena-quintin.htm
2068,RADAMUS River,RADAMUS R,Male,1998-02-12,"STEAMBOAT SPRINGS, CO",United States of America,United States of America,USA,Alpine Skiing,ALP,"EDWARDS, CO",United States of America,,../../../en/results/alpine-skiing/athlete-profile-n1041236-river-radamus.htm
2069,RADFORD Eric,RADFORD E,Male,1985-01-27,"WINNIPEG, MB",Canada,Canada,CAN,Figure Skating,FSK,"MONTREAL, QC",Canada,,../../../en/results/figure-skating/athlete-profile-n1038625-eric-radford.htm
2070,RADOVA Tereza,RADOVA T,Female,2001-11-22,SVITAVY,Czech Republic,Czech Republic,CZE,Ice Hockey,IHO,,,1.76/5'9'',../../../en/results/ice-hockey/athlete-profile-n1055712-tereza-radova.htm
2071,RADU Cristian,RADU C,Male,1996-12-21,,,Romania,ROU,Bobsleigh,BOB,,,,../../../en/results/bobsleigh/athlete-profile-n1015083-cristian-radu.htm
2072,RAEDLER Ariane,RAEDLER A,Female,1995-01-20,BREGENZ,Austria,Austria,AUT,Alpine Skiing,ALP,MOEGGERS,Austria,,../../../en/results/alpine-skiing/athlete-profile-n1005327-ariane-raedler.htm
2073,RAENKEL Raido,RAENKEL R,Male,1990-01-13,RAKVERE,Estonia,Estonia,EST,Biathlon,BTH,VORU,Estonia,,../../../en/results/biathlon/athlete-profile-n1036113-raido-raenkel.htm
2074,RAGETTLI Andri,RAGETTLI A,Male,1998-08-21,FILMS,Switzerland,Switzerland,SUI,Freestyle Skiing,FRS,FILMS,Switzerland,,../../../en/results/freestyle-skiing/athlete-profile-n1049803-andri-ragettli.htm
2075,RAHNEVA Mirela,RAHNEVA M,Female,1988-07-26,RUSE,Bulgaria,Canada,CAN,Skeleton,SKN,"OTTAWA, ON",Canada,,../../../en/results/skeleton/athlete-profile-n1054931-mirela-rahneva.htm
2076,RAISANEN Meeri,RAISANEN M,Female,1989-12-02,TAMPERE,Finland,Finland,FIN,Ice Hockey,IHO,,,1.70/5'6'',../../../en/results/ice-hockey/athlete-profile-n1005553-meeri-raisanen.htm
2077,RAJALA Toni,RAJALA T,Male,1991-03-29,PARKANO,Finland,Finland,FIN,Ice Hockey,IHO,BIEL,Finland,1.79/5'10'',../../../en/results/ice-hockey/athlete-profile-n1013075-toni-rajala.htm
2078,RAJDA Kinga,RAJDA K,Female,2000-12-22,BIELSKO-BIALA,Poland,Poland,POL,Ski Jumping,SJP,SZCZYRK,Poland,,../../../en/results/ski-jumping/athlete-profile-n1032063-kinga-rajda.htm
2079,RAKPAROV Chingiz,RAKPAROV C,Male,1995-07-05,,,Kazakhstan,KAZ,Nordic Combined,NCB,,,,../../../en/results/nordic-combined/athlete-profile-n1048092-chingiz-rakparov.htm
2080,RAMANAUSKAITE Paulina,RAMANAUSKAITE P,Female,2003-01-27,KAUNAS,Lithuania,Lithuania,LTU,Figure Skating,FSK,KAUNAS,Lithuania,,../../../en/results/figure-skating/athlete-profile-n1037091-paulina-ramanauskaite.htm
2081,RAMSAUER Katharina,RAMSAUER K,Female,1995-05-21,HALLEIN,Austria,Austria,AUT,Freestyle Skiing,FRS,KRISPL,Austria,,../../../en/results/freestyle-skiing/athlete-profile-n1005574-katharina-ramsauer.htm
2082,RAN Hongyun,RAN H,Female,2003-09-23,GUIZHOU,People's Republic of China,People's Republic of China,CHN,Freestyle Skiing,FRS,ZHANGJIAKOU,People's Republic of China,,../../../en/results/freestyle-skiing/athlete-profile-n1058298-hongyun-ran.htm
2083,RANTALA Sanni,RANTALA S,Female,2002-07-08,RIIHIMAKI,Finland,Finland,FIN,Ice Hockey,IHO,,,1.73/5'8'',../../../en/results/ice-hockey/athlete-profile-n1035631-sanni-rantala.htm
2084,RASELLI Evelina,RASELLI E,Female,1992-05-03,POSCHIAVO,Switzerland,Switzerland,SUI,Ice Hockey,IHO,,,1.70/5'6'',../../../en/results/ice-hockey/athlete-profile-n1049804-evelina-raselli.htm
2085,RASP Christian,RASP C,Male,1989-09-29,OCHSENFURT,Federal Republic of Germany,Germany,GER,Bobsleigh,BOB,BERCHTESGADEN,Germany,,../../../en/results/bobsleigh/athlete-profile-n1014482-christian-rasp.htm
2086,RASSKAZOVA Vera,RASSKAZOVA V,Female,2000-04-13,MOSCOW,Russian Federation,ROC,ROC,Short Track Speed Skating,STK,MOSCOW,Russian Federation,,../../../en/results/short-track-speed-skating/athlete-profile-n1037929-vera-rasskazova.htm
2087,RAST Camille,RAST C,Female,1999-07-09,VETROZ,Switzerland,Switzerland,SUI,Alpine Skiing,ALP,SION,Switzerland,,../../../en/results/alpine-skiing/athlete-profile-n1049805-camille-rast.htm
2088,RASTELLI Maicol,RASTELLI M,Male,1991-04-28,SONDALO,Italy,Italy,ITA,Cross-Country Skiing,CCS,LE PRESE,Italy,,../../../en/results/cross-country-skiing/athlete-profile-n1037110-maicol-rastelli.htm
2089,RATTRAY Jamie Lee,RATTRAY JL,Female,1992-09-30,"KANATA, ON",Canada,Canada,CAN,Ice Hockey,IHO,"TORONTO, ON",Canada,1.70/5'6'',../../../en/results/ice-hockey/athlete-profile-n1036287-jamie-lee-rattray.htm
2090,RAUCHFUSS Julian,RAUCHFUSS J,Male,1994-09-02,MINDELHEIM,Germany,Germany,GER,Alpine Skiing,ALP,MINDELHEIM,Germany,,../../../en/results/alpine-skiing/athlete-profile-n1012752-julian-rauchfuss.htm
2091,RAUTIONAHO Jenny,RAUTIONAHO J,Female,1996-07-26,ROVANIEMI,Finland,Finland,FIN,Ski Jumping,SJP,,,,../../../en/results/ski-jumping/athlete-profile-n1005554-jenny-rautionaho.htm
2092,RAVENNA Veronica Maria,RAVENNA VM,Female,1998-02-19,BUENOS AIRES,Argentina,Argentina,ARG,Luge,LUG,"WHISTLER, BC",Canada,,../../../en/results/luge/athlete-profile-n1037747-veronica-maria-ravenna.htm
2093,RAZZOLI Giuliano,RAZZOLI G,Male,1984-12-18,REGGIO NELL'EMILIA,Italy,Italy,ITA,Alpine Skiing,ALP,VILLA MINOZZO,Italy,,../../../en/results/alpine-skiing/athlete-profile-n1015216-giuliano-razzoli.htm
2094,READ Erik,READ E,Male,1991-05-31,"CALGARY, AB",Canada,Canada,CAN,Alpine Skiing,ALP,"CANMORE, AB",Canada,,../../../en/results/alpine-skiing/athlete-profile-n1045527-erik-read.htm
2095,REDDINGIUS Kiara,REDDINGIUS K,Female,1992-01-02,WA,Australia,Australia,AUS,Bobsleigh,BOB,"MELBOURNE, VIC",Australia,,../../../en/results/bobsleigh/athlete-profile-n1046131-kiara-reddingius.htm
2096,REED James,REED J,Male,1991-05-23,"BLOOMINGTON, IN",United States of America,United States of America,USA,Bobsleigh,BOB,GARMISCH,Germany,,../../../en/results/bobsleigh/athlete-profile-n1041477-james-reed.htm
2097,REES Roman,REES R,Male,1993-03-01,FREIBURG IM BREISGAU,Germany,Germany,GER,Biathlon,BTH,FREIBURG IM BREISGAU,Germany,,../../../en/results/biathlon/athlete-profile-n1012769-roman-rees.htm
2098,REFSGAARD Amanda,REFSGAARD A,Female,2000-03-08,HOERSHOLM,Denmark,Denmark,DEN,Ice Hockey,IHO,,,1.75/5'8'',../../../en/results/ice-hockey/athlete-profile-n1031841-amanda-refsgaard.htm
2099,REGENDA Pavol,REGENDA P,Male,1999-12-07,MICHALOVCE,Slovakia,Slovakia,SVK,Ice Hockey,IHO,MICHALOVCE,Slovakia,1.92/6'3'',../../../en/results/ice-hockey/athlete-profile-n1044370-pavol-regenda.htm
2100,REGEZ Ryan,REGEZ R,Male,1993-01-30,INTERLAKEN,Switzerland,Switzerland,SUI,Freestyle Skiing,FRS,WENGEN,Switzerland,,../../../en/results/freestyle-skiing/athlete-profile-n1049807-ryan-regez.htm
2101,REGIN Peter,REGIN P,Male,1986-04-16,HERNING,Denmark,Denmark,DEN,Ice Hockey,IHO,QUINTO,Switzerland,1.87/6'1'',../../../en/results/ice-hockey/athlete-profile-n1032230-peter-regin.htm
2102,REHRL Franz-Josef,REHRL FJ,Male,1993-03-15,SCHLADMING,Austria,Austria,AUT,Nordic Combined,NCB,RAMSAU,Austria,,../../../en/results/nordic-combined/athlete-profile-n1005625-franz-josef-rehrl.htm
2103,REID Joanne,REID J,Female,1992-06-28,"MADISON, WI",United States of America,United States of America,USA,Biathlon,BTH,"GRAND JUNCTION, CO",United States of America,,../../../en/results/biathlon/athlete-profile-n1034592-joanne-reid.htm
2104,REID Rolando,REID R,Male,1993-01-27,,Jamaica,Jamaica,JAM,Bobsleigh,BOB,"BALTIMORE, MD",United States of America,,../../../en/results/bobsleigh/athlete-profile-n1051943-rolando-reid.htm
2105,REIDEBORN Adam,REIDEBORN A,Male,1992-01-18,STOCKHOLM,Sweden,Sweden,SWE,Ice Hockey,IHO,ST. PETERSBURG,Russian Federation,1.86/6'1'',../../../en/results/ice-hockey/athlete-profile-n1050848-adam-reideborn.htm
2106,REIKHERD Dmitriy,REIKHERD D,Male,1989-01-08,UST-KAMENOGORSK,Kazakhstan,Kazakhstan,KAZ,Freestyle Skiing,FRS,,Kazakhstan,,../../../en/results/freestyle-skiing/athlete-profile-n1048122-dmitriy-reikherd.htm
2107,REMME Roni,REMME R,Female,1996-02-14,"ETOBICOKE, ON",Canada,Canada,CAN,Alpine Skiing,ALP,"COLLINGWOOD, ON",Canada,,../../../en/results/alpine-skiing/athlete-profile-n1045530-roni-remme.htm
2108,REN Ziwei,REN Z,Male,1997-06-03,HARBIN,People's Republic of China,People's Republic of China,CHN,Short Track Speed Skating,STK,BEIJING,People's Republic of China,,../../../en/results/short-track-speed-skating/athlete-profile-n1057883-ziwei-ren.htm
2109,REPIK Michal,REPIK M,Male,1988-12-31,VLASIM,Czech Republic,Czech Republic,CZE,Ice Hockey,IHO,PRAGUE,Czech Republic,1.79/5'10'',../../../en/results/ice-hockey/athlete-profile-n1055668-michal-repik.htm
2110,REPILOV Roman,REPILOV R,Male,1996-03-05,DMITROV,Russian Federation,ROC,ROC,Luge,LUG,DMITROV,Russian Federation,,../../../en/results/luge/athlete-profile-n1016396-roman-repilov.htm
2111,REPONEN Perttu,REPONEN P,Male,2002-02-18,KITEE,Finland,Finland,FIN,Nordic Combined,NCB,VUOKATTI,Finland,,../../../en/results/nordic-combined/athlete-profile-n1013078-perttu-reponen.htm
2112,REPSTOCK-ROMME Cassandra,REPSTOCK-ROMME C,Female,2001-08-26,HELLERUP,Denmark,Denmark,DEN,Ice Hockey,IHO,,,1.71/5'7'',../../../en/results/ice-hockey/athlete-profile-n1055814-cassandra-repstock-romme.htm
2113,RETORNAZ Joel,RETORNAZ J,Male,1983-09-20,GENEVA,Switzerland,Italy,ITA,Curling,CUR,CEMBRA,Italy,,../../../en/results/curling/athlete-profile-n1037089-joel-retornaz.htm
2114,REVIYA Georgy,REVIYA G,Male,1999-04-03,,,Georgia,GEO,Figure Skating,FSK,,,,../../../en/results/figure-skating/athlete-profile-n1036024-georgy-reviya.htm
2115,REZTSOVA Kristina,REZTSOVA K,Female,1996-04-27,,,ROC,ROC,Biathlon,BTH,,,,../../../en/results/biathlon/athlete-profile-n1036733-kristina-reztsova.htm
2116,RIBERA Eduarda,RIBERA E,Female,2004-11-21,CEREJEIRAS,Brazil,Brazil,BRA,Cross-Country Skiing,CCS,SAO PAULO,Brazil,,../../../en/results/cross-country-skiing/athlete-profile-n1055119-eduarda-ribera.htm
2117,RIBOM Emma,RIBOM E,Female,1997-11-29,KALIX,Sweden,Sweden,SWE,Cross-Country Skiing,CCS,OSTERSUND,Sweden,,../../../en/results/cross-country-skiing/athlete-profile-n1044352-emma-ribom.htm
2118,RICHARDSON WILSON Dawn,RICHARDSON WILSON,Female,1999-09-26,ACCRA,Ghana,Canada,CAN,Bobsleigh,BOB,"EDMONTON, AB",Canada,,../../../en/results/bobsleigh/athlete-profile-n1054977-dawn-richardson-wilson.htm
2119,RIDZIK Sergey,RIDZIK S,Male,1992-10-25,MONCHEGORSK,Russian Federation,ROC,ROC,Freestyle Skiing,FRS,KHIMKI,Russian Federation,,../../../en/results/freestyle-skiing/athlete-profile-n1041115-sergey-ridzik.htm
2120,RIEDENER Nina,RIEDENER N,Female,2000-06-20,,Liechtenstein,Liechtenstein,LIE,Cross-Country Skiing,CCS,BALZERS,Liechtenstein,,../../../en/results/cross-country-skiing/athlete-profile-n1037382-nina-riedener.htm
2121,RIEDER Emanuel,RIEDER E,Male,1993-10-01,BRESSANONE,Italy,Italy,ITA,Luge,LUG,MARANZA,Italy,,../../../en/results/luge/athlete-profile-n1015395-emanuel-rieder.htm
2122,RIEDER Tobias,RIEDER T,Male,1993-01-10,LANDSHUT,Germany,Germany,GER,Ice Hockey,IHO,VAXJO,Sweden,1.80/5'10'',../../../en/results/ice-hockey/athlete-profile-n1001185-tobias-rieder.htm
2123,RIIBER Jarl Magnus,RIIBER JM,Male,1997-10-15,OSLO,Norway,Norway,NOR,Nordic Combined,NCB,OSLO,Norway,,../../../en/results/nordic-combined/athlete-profile-n1030963-jarl-magnus-riiber.htm
2124,RIJHNEN Felix,RIJHNEN F,Male,1990-07-09,DARMSTADT,Germany,Germany,GER,Speed Skating,SSK,DARMSTADT,Germany,1.87/6'1'',../../../en/results/speed-skating/athlete-profile-n1001553-felix-rijhnen.htm
2125,RINALDI Rudy,RINALDI R,Male,1993-08-18,,Monaco,Monaco,MON,Bobsleigh,BOB,,,,../../../en/results/bobsleigh/athlete-profile-n1005440-rudy-rinaldi.htm
2126,RINNEKANGAS Rene,RINNEKANGAS R,Male,1999-09-25,IISALMI,Finland,Finland,FIN,Snowboard,SBD,IISALMI,Finland,,../../../en/results/snowboard/athlete-profile-n1025206-rene-rinnekangas.htm
2127,RIOS Martin,RIOS M,Male,1981-05-24,GLARUS,Switzerland,Switzerland,SUI,Curling,CUR,GLARUS,Switzerland,,../../../en/results/curling/athlete-profile-n1049812-martin-rios.htm
2128,RIPSRUD Martine,RIPSRUD M,Female,1995-10-31,,,Norway,NOR,Speed Skating,SSK,STANGE,Norway,1.67/5'5'',../../../en/results/speed-skating/athlete-profile-n1032343-martine-ripsrud.htm
2129,RITCHIE Graham,RITCHIE G,Male,1998-09-23,"PARRY SOUND, ON",Canada,Canada,CAN,Cross-Country Skiing,CCS,"PARRY SOUND, ON",Canada,,../../../en/results/cross-country-skiing/athlete-profile-n1051720-graham-ritchie.htm
2130,RIZZO Matteo,RIZZO M,Male,1998-09-05,ROME,,Italy,ITA,Figure Skating,FSK,SESTO SAN GIOVANNI,Italy,,../../../en/results/figure-skating/athlete-profile-n1035058-matteo-rizzo.htm
2131,ROBINSON Alice,ROBINSON A,Female,2001-12-01,SYDNEY,Australia,New Zealand,NZL,Alpine Skiing,ALP,QUEENSTOWN,New Zealand,,../../../en/results/alpine-skiing/athlete-profile-n1055019-alice-robinson.htm
2132,ROBINSON Matt,ROBINSON M,Male,1986-06-20,"CALGARY, AB",Canada,Canada,CAN,Ice Hockey,IHO,ST. PETERSBURG,Russian Federation,1.75/5'8'',../../../en/results/ice-hockey/athlete-profile-n1051764-matt-robinson.htm
2133,ROBNIK Tina,ROBNIK T,Female,1991-07-30,CELJE,Slovenia,Slovenia,SLO,Alpine Skiing,ALP,RECICA OB SAVINJI,Slovenia,,../../../en/results/alpine-skiing/athlete-profile-n1051172-tina-robnik.htm
2134,RODRIGUEZ LOPEZ Maria Victoria,RODRIGUEZ LOPEZ MV,Female,1991-04-01,NEUQUEN,Argentina,Argentina,ARG,Speed Skating,SSK,"SALT LAKE CITY, UT",United States of America,1.70/5'6'',../../../en/results/speed-skating/athlete-profile-n1037745-maria-victoria-rodriguez-lopez.htm
2135,ROEISELAND Marte Olsbu,ROEISELAND MO,Female,1990-12-07,ARENDAL,Norway,Norway,NOR,Biathlon,BTH,LILLEHAMMER,Norway,,../../../en/results/biathlon/athlete-profile-n1031950-marte-olsbu-roeiseland.htm
2136,ROENNGREN Mattias,ROENNGREN M,Male,1993-11-22,ARE,Sweden,Sweden,SWE,Alpine Skiing,ALP,ARE,Sweden,,../../../en/results/alpine-skiing/athlete-profile-n1054364-mattias-roenngren.htm
2137,ROES Sven,ROES S,Male,1999-11-26,LEEUWARDEN,Netherlands,Netherlands,NED,Short Track Speed Skating,STK,HEERENVEEN,Netherlands,,../../../en/results/short-track-speed-skating/athlete-profile-n1054308-sven-roes.htm
2138,ROEST Patrick,ROEST P,Male,1995-12-07,LEKKERKERK,Netherlands,Netherlands,NED,Speed Skating,SSK,HEERENVEEN,Netherlands,1.87/6'1'',../../../en/results/speed-skating/athlete-profile-n1054309-patrick-roest.htm
2139,ROETHE Sjur,ROETHE S,Male,1988-07-02,VOSS,Norway,Norway,NOR,Cross-Country Skiing,CCS,TOENSBERG,Norway,,../../../en/results/cross-country-skiing/athlete-profile-n1032196-sjur-roethe.htm
2140,ROGELJ Spela,ROGELJ S,Female,1994-11-08,LJUBLJANA,Slovenia,Slovenia,SLO,Ski Jumping,SJP,BREZOVICA,Slovenia,,../../../en/results/ski-jumping/athlete-profile-n1051167-spela-rogelj.htm
2141,ROGENTIN Stefan,ROGENTIN S,Male,1994-05-16,LENZERHEIDE,Switzerland,Switzerland,SUI,Alpine Skiing,ALP,LENZERHEIDE,Switzerland,,../../../en/results/alpine-skiing/athlete-profile-n1049816-stefan-rogentin.htm
2142,ROHRWECK Johannes,ROHRWECK J,Male,1990-08-05,STEYR,Austria,Austria,AUT,Freestyle Skiing,FRS,GROBRAMING,Austria,,../../../en/results/freestyle-skiing/athlete-profile-n1005588-johannes-rohrweck.htm
