,name,short_name,gender,birth_date,birth_place,birth_country,country,country_code,discipline,discipline_code,residence_place,residence_country,height_m/ft,url
1003,HORIKAWA Momoka,HORIKAWA M,Female,2003-07-10,HOKKAIDO,Japan,Japan,JPN,Speed Skating,SSK,TAKE,Japan,1.64/5'4'',../../../en/results/speed-skating/athlete-profile-n1042270-momoka-horikawa.htm
1004,HORISHIMA Ikuma,HORISHIMA I,Male,1997-12-11,IKEDA TOWN,Japan,Japan,JPN,Freestyle Skiing,FRS,,Japan,,../../../en/results/freestyle-skiing/athlete-profile-n1037892-ikuma-horishima.htm
1005,HORN Kristopher,HORN K,Male,1994-04-25,"WEYMOUTH, MA",United States of America,United States of America,USA,Bobsleigh,BOB,"PEMBROKE, MA",United States of America,,../../../en/results/bobsleigh/athlete-profile-n1041479-kristopher-horn.htm
1006,HORVATOVA Henrieta,HORVATOVA H,Female,1999-09-18,BREZNO,Slovakia,Slovakia,SVK,Biathlon,BTH,SLOVENSKA LUPCA,Slovakia,,../../../en/results/biathlon/athlete-profile-n1053062-henrieta-horvatova.htm
1007,HO-SANG Josh,HO-SANG J,Male,1996-01-22,"TORONTO, ON",Canada,Canada,CAN,Ice Hockey,IHO,"TORONTO, ON",Canada,1.83/6'0'',../../../en/results/ice-hockey/athlete-profile-n1140539-josh-ho-sang.htm
1008,HOSHINO Junko,HOSHINO J,Female,1989-09-25,NAGAOKA,Japan,Japan,JPN,Freestyle Skiing,FRS,INAWASHIRO,Japan,,../../../en/results/freestyle-skiing/athlete-profile-n1037891-junko-hoshino.htm
1009,HOSKING Elizabeth,HOSKING E,Female,2001-07-22,"LONGUEUIL, QC",Canada,Canada,CAN,Snowboard,SBD,"MILLE-ISLES, QC",Canada,,../../../en/results/snowboard/athlete-profile-n1045874-elizabeth-hosking.htm
1010,HOSOYAMADA Akane,HOSOYAMADA A,Female,1992-03-09,"BANFF, AB",Canada,Japan,JPN,Ice Hockey,IHO,"BANFF, AB",Canada,1.63/5'4'',../../../en/results/ice-hockey/athlete-profile-n1042421-akane-hosoyamada.htm
1011,HOUSER Radek,HOUSER R,Male,1996-07-02,,,Czech Republic,CZE,Snowboard,SBD,,,,../../../en/results/snowboard/athlete-profile-n1033815-radek-houser.htm
1012,HOWALD Carole,HOWALD C,Female,1993-03-29,LANGENTHAL,Switzerland,Switzerland,SUI,Curling,CUR,LANGENTHAL,Switzerland,,../../../en/results/curling/athlete-profile-n1048562-carole-howald.htm
1013,HOWDEN Reece,HOWDEN R,Male,1998-07-12,"CULTUS LAKE, BC",Canada,Canada,CAN,Freestyle Skiing,FRS,"CULTUS LAKE, BC",Canada,,../../../en/results/freestyle-skiing/athlete-profile-n1036221-reece-howden.htm
1014,HOWE Connor,HOWE C,Male,2000-06-10,"CANMORE, AB",Canada,Canada,CAN,Speed Skating,SSK,"CALGARY, AB",Canada,1.94/6'4'',../../../en/results/speed-skating/athlete-profile-n1038496-connor-howe.htm
