Codice richiesta,80749
Codice Stazione,S4063
Denominazione,COLLE DELL'AGNELLO
Localita',RICOVERINI
UTM X,339885 m
UTM Y,4949696 m
Quota,2685 m s.l.m.
Periodo, 2018-01-01 / 2021-12-05
Altezza neve giornaliera
data,neve al suolo (cm),neve fresca (cm)
30/03/2019 ,    60 ,     0
31/03/2019 ,    60 ,     0
01/04/2019 ,    60 ,     0
02/04/2019 ,    54 ,     0
03/04/2019 ,    58 ,     5
04/04/2019 ,    92 ,    34
05/04/2019 ,    89 ,     2
06/04/2019 ,    84 ,     0
07/04/2019 ,    97 ,    14
08/04/2019 ,   102 ,    10
09/04/2019 ,    89 ,     0
10/04/2019 ,   106 ,    17
11/04/2019 ,   100 ,     0
12/04/2019 ,   122 ,    24
13/04/2019 ,   114 ,     0
14/04/2019 ,   106 ,     0
15/04/2019 ,   104 ,     0
16/04/2019 ,   105 ,     0
17/04/2019 ,   105 ,     0
18/04/2019 ,   102 ,     0
19/04/2019 ,   102 ,     0
20/04/2019 ,   100 ,     0
21/04/2019 ,    98 ,     0
22/04/2019 ,    98 ,     0
23/04/2019 ,   104 ,     6
24/04/2019 ,   114 ,    10
25/04/2019 ,   121 ,     9
26/04/2019 ,   129 ,     8
27/04/2019 ,   132 ,    14
28/04/2019 ,   122 ,     0
29/04/2019 ,   121 ,     0
30/04/2019 ,   117 ,     0
01/05/2019 ,   115 ,     0
02/05/2019 ,   108 ,     0
03/05/2019 ,   125 ,    17
04/05/2019 ,   137 ,    18
05/05/2019 ,   127 ,     3
06/05/2019 ,   123 ,     0
07/05/2019 ,   117 ,     0
08/05/2019 ,   116 ,     1
09/05/2019 ,   148 ,    35
10/05/2019 ,   137 ,     0
11/05/2019 ,   128 ,     0
13/05/2019 ,   128 ,     1
14/05/2019 ,   126 ,     0
15/05/2019 ,   124 ,     8
16/05/2019 ,   120 ,     0
17/05/2019 ,   119 ,     1
18/05/2019 ,   143 ,    26
19/05/2019 ,   144 ,     4
20/05/2019 ,   143 ,     0
21/05/2019 ,   139 ,     0
22/05/2019 ,   135 ,     0
23/05/2019 ,   126 ,     0
24/05/2019 ,   122 ,     0
25/05/2019 ,   121 ,     0
26/05/2019 ,   121 ,     2
27/05/2019 ,   122 ,     2
28/05/2019 ,   119 ,     0
29/05/2019 ,   118 ,     0
30/05/2019 ,   116 ,     0
31/05/2019 ,   111 ,     0
01/06/2019 ,   108 ,     0
02/06/2019 ,    99 ,     0
03/06/2019 ,    93 ,     0
04/06/2019 ,    87 ,     0
05/06/2019 ,    78 ,     0
06/06/2019 ,    70 ,     0
07/06/2019 ,    63 ,     0
08/06/2019 ,    61 ,     0
09/06/2019 ,    52 ,     0
10/06/2019 ,    45 ,     0
11/06/2019 ,    46 ,     5
12/06/2019 ,    38 ,     0
13/06/2019 ,  , 
14/06/2019 ,    19 ,     0
15/06/2019 ,    10 ,     0
16/06/2019 ,     6 ,     0
17/06/2019 ,     5 ,     0
18/06/2019 ,     3 ,     0
19/06/2019 ,     0 ,     0
20/06/2019 ,     0 ,     0
21/06/2019 ,     0 ,     0
22/06/2019 ,     0 ,     0
23/06/2019 ,     0 ,     0
24/06/2019 ,     0 ,     0
25/06/2019 ,     0 ,     0
26/06/2019 ,     0 ,     0
27/06/2019 ,     0 ,     0
28/06/2019 ,     0 ,     0
29/06/2019 ,     0 ,     0
30/06/2019 ,     0 ,     0
01/07/2019 ,     0 ,     0
02/07/2019 ,     0 ,     0
03/07/2019 ,     0 ,     0
04/07/2019 ,     0 ,     0
05/07/2019 ,     0 ,     0
09/07/2019 ,     0 ,     0
10/07/2019 ,     0 ,     0
11/07/2019 ,     0 ,     0
12/07/2019 ,     0 ,     0
13/07/2019 ,     0 ,     0
14/07/2019 ,     0 ,     0
15/07/2019 ,     6 ,     7
16/07/2019 ,    18 ,    18
17/07/2019 ,     8 ,     0
18/07/2019 ,     0 ,     0
19/07/2019 ,     0 ,     0
20/07/2019 ,     0 ,     0
21/07/2019 ,     0 ,     0
22/07/2019 ,     0 ,     0
23/07/2019 ,     0 ,     0
24/07/2019 ,     0 ,     0
25/07/2019 ,     0 ,     0
26/07/2019 ,     0 ,     0
31/07/2019 ,     0 ,     0
01/08/2019 ,     0 ,     0
02/08/2019 ,     0 ,     0
03/08/2019 ,     0 ,     0
04/08/2019 ,     0 ,     0
05/08/2019 ,     0 ,     0
06/08/2019 ,     0 ,     0
07/08/2019 ,     0 ,     0
08/08/2019 ,     0 ,     0
09/08/2019 ,     0 ,     0
20/08/2019 ,     0 ,     0
21/08/2019 ,     0 ,     0
22/08/2019 ,     0 ,     0
23/08/2019 ,     0 ,     0
24/08/2019 ,     0 ,     0
25/08/2019 ,     0 ,     0
26/08/2019 ,     0 ,     0
27/08/2019 ,     0 ,     0
28/08/2019 ,     0 ,     0
29/08/2019 ,     0 ,     0
30/08/2019 ,     0 ,     0
31/08/2019 ,     0 ,     0
01/09/2019 ,     0 ,     0
02/09/2019 ,     0 ,     0
03/09/2019 ,     0 ,     0
04/09/2019 ,     0 ,     0
05/09/2019 ,     0 ,     0
06/09/2019 ,     7 ,    15
07/09/2019 ,     6 ,     8
08/09/2019 ,     5 ,     0
09/09/2019 ,     5 ,     1
10/09/2019 ,     6 ,     1
11/09/2019 ,    17 ,    15
12/09/2019 ,     6 ,     0
13/09/2019 ,     5 ,     0
24/09/2019 ,     0 ,     0
25/09/2019 ,     0 ,     0
26/09/2019 ,     0 ,     0
27/09/2019 ,     0 ,     0
28/09/2019 ,     0 ,     0
29/09/2019 ,     0 ,     0
30/09/2019 ,     0 ,     0
01/10/2019 ,     0 ,     0
02/10/2019 ,     3 ,     3
03/10/2019 ,     0 ,     0
04/10/2019 ,     0 ,     0
05/10/2019 ,     0 ,     0
06/10/2019 ,     0 ,     0
07/10/2019 ,     8 ,     9
08/10/2019 ,     4 ,     0
09/10/2019 ,     2 ,     0
10/10/2019 ,     2 ,     0
11/10/2019 ,     1 ,     0
12/10/2019 ,     0 ,     0
13/10/2019 ,     0 ,     0
14/10/2019 ,     0 ,     0
15/10/2019 ,    13 ,    13
16/10/2019 ,    15 ,    13
17/10/2019 ,    12 ,     0
18/10/2019 ,     9 ,     0
19/10/2019 ,     8 ,     0
20/10/2019 ,     5 ,     0
21/10/2019 ,    11 ,     5
22/10/2019 ,     8 ,     0
23/10/2019 ,     5 ,     0
24/10/2019 ,    28 ,    23
25/10/2019 ,    21 ,     0
26/10/2019 ,    19 ,     0
27/10/2019 ,    15 ,     0
28/10/2019 ,    15 ,     0
29/10/2019 ,    11 ,     0
30/10/2019 ,     7 ,     0
31/10/2019 ,     7 ,     0
01/11/2019 ,     6 ,     0
02/11/2019 ,    12 ,     9
03/11/2019 ,    28 ,    17
04/11/2019 ,    31 ,     6
05/11/2019 ,    42 ,    17
06/11/2019 ,    32 ,     0
07/11/2019 ,    32 ,     0
08/11/2019 ,    40 ,    11
09/11/2019 ,    38 ,     0
10/11/2019 ,    38 ,     0
11/11/2019 ,    37 ,     0
12/11/2019 ,    41 ,     5
13/11/2019 ,    31 ,     0
14/11/2019 ,    28 ,     0
15/11/2019 ,    58 ,    30
16/11/2019 ,    58 ,     0
17/11/2019 ,    54 ,     0
18/11/2019 ,    52 ,     0
19/11/2019 ,    61 ,    11
20/11/2019 ,    52 ,     4
21/11/2019 ,    57 ,     6
22/11/2019 ,    65 ,    12
23/11/2019 ,    67 ,     5
24/11/2019 ,   102 ,    40
25/11/2019 ,   130 ,    29
26/11/2019 ,   123 ,     0
27/11/2019 ,   127 ,    12
28/11/2019 ,   117 ,    20
29/11/2019 ,   109 ,     0
30/11/2019 ,   114 ,     7
01/12/2019 ,   112 ,     0
02/12/2019 ,   144 ,    35
03/12/2019 ,   139 ,     0
04/12/2019 ,   131 ,     0
05/12/2019 ,   127 ,     0
06/12/2019 ,   123 ,     0
07/12/2019 ,   114 ,     0
08/12/2019 ,   110 ,     0
09/12/2019 ,   102 ,     0
10/12/2019 ,   102 ,     6
11/12/2019 ,    94 ,     0
12/12/2019 ,    91 ,     0
13/12/2019 ,   109 ,    23
14/12/2019 ,   139 ,    32
15/12/2019 ,   132 ,     0
16/12/2019 ,   125 ,     0
17/12/2019 ,   122 ,     0
18/12/2019 ,   122 ,     3
19/12/2019 ,   124 ,     2
20/12/2019 ,   129 ,     5
21/12/2019 ,   162 ,    33
22/12/2019 ,   174 ,    12
23/12/2019 ,   189 ,    15
24/12/2019 ,   181 ,     6
25/12/2019 ,   166 ,     0
26/12/2019 ,   151 ,     0
27/12/2019 ,   147 ,     0
28/12/2019 ,   141 ,     4
29/12/2019 ,   138 ,     0
30/12/2019 ,   137 ,     0
31/12/2019 ,   136 ,     0
01/01/2020 ,   135 ,     0
02/01/2020 ,   134 ,     0
03/01/2020 ,   131 ,     0
04/01/2020 ,   129 ,     0
05/01/2020 ,   124 ,     0
06/01/2020 ,   124 ,     0
07/01/2020 ,   124 ,     0
08/01/2020 ,   124 ,     0
09/01/2020 ,   124 ,     0
10/01/2020 ,   124 ,     0
11/01/2020 ,   124 ,     0
12/01/2020 ,   120 ,     0
13/01/2020 ,   118 ,     0
14/01/2020 ,   117 ,     0
15/01/2020 ,   113 ,     0
16/01/2020 ,   112 ,     0
17/01/2020 ,   112 ,     0
18/01/2020 ,   113 ,    14
19/01/2020 ,   114 ,     2
20/01/2020 ,   127 ,    13
21/01/2020 ,   128 ,     9
22/01/2020 ,   124 ,     0
23/01/2020 ,   124 ,     0
24/01/2020 ,   124 ,     0
25/01/2020 ,   122 ,     0
26/01/2020 ,   125 ,     3
27/01/2020 ,   125 ,     0
28/01/2020 ,   132 ,     7
29/01/2020 ,   142 ,    11
30/01/2020 ,   128 ,     0
31/01/2020 ,   125 ,     0
01/02/2020 ,   124 ,     0
02/02/2020 ,   116 ,     0
03/02/2020 ,   115 ,     0
04/02/2020 ,   122 ,    14
05/02/2020 ,   122 ,     7
06/02/2020 ,   115 ,     0
07/02/2020 ,   115 ,     0
08/02/2020 ,   115 ,     0
09/02/2020 ,   115 ,     0
10/02/2020 ,   111 ,     0
11/02/2020 ,   120 ,     9
12/02/2020 ,   117 ,     2
13/02/2020 ,   112 ,     0
14/02/2020 ,   117 ,     7
15/02/2020 ,   113 ,     0
16/02/2020 ,   113 ,     0
17/02/2020 ,   113 ,     0
18/02/2020 ,   113 ,     0
19/02/2020 ,   113 ,     0
20/02/2020 ,   112 ,     0
21/02/2020 ,   112 ,     0
22/02/2020 ,   112 ,     0
23/02/2020 ,   106 ,     0
24/02/2020 ,   106 ,     0
25/02/2020 ,   106 ,     0
26/02/2020 ,   112 ,     6
27/02/2020 ,   120 ,    16
28/02/2020 ,   120 ,     1
29/02/2020 ,   114 ,     0
01/03/2020 ,   129 ,    18
02/03/2020 ,   139 ,    18
03/03/2020 ,   138 ,    19
04/03/2020 ,   121 ,     0
05/03/2020 ,   120 ,     0
06/03/2020 ,   142 ,    28
07/03/2020 ,   128 ,     0
08/03/2020 ,   124 ,     0
09/03/2020 ,   120 ,     0
10/03/2020 ,   119 ,     1
11/03/2020 ,   116 ,     2
12/03/2020 ,   113 ,     0
13/03/2020 ,   118 ,    10
14/03/2020 ,   112 ,     0
15/03/2020 ,   111 ,     0
16/03/2020 ,   110 ,     0
17/03/2020 ,   110 ,     0
18/03/2020 ,   110 ,     0
19/03/2020 ,   110 ,     0
20/03/2020 ,   110 ,     0
21/03/2020 ,   105 ,     0
22/03/2020 ,   109 ,     4
23/03/2020 ,   112 ,     4
24/03/2020 ,   108 ,     0
25/03/2020 ,   110 ,     5
26/03/2020 ,   134 ,    25
27/03/2020 ,   149 ,    17
28/03/2020 ,   142 ,     0
29/03/2020 ,   136 ,     0
30/03/2020 ,   142 ,     7
31/03/2020 ,   141 ,     2
01/04/2020 ,   135 ,     0
02/04/2020 ,   133 ,     0
03/04/2020 ,   131 ,     0
04/04/2020 ,   130 ,     0
05/04/2020 ,   126 ,     0
06/04/2020 ,   121 ,     0
07/04/2020 ,   121 ,     0
08/04/2020 ,   120 ,     0
09/04/2020 ,   118 ,     0
