AnnoS;GruppoNOME;SESSO;lau
2015;Educazione e Formazione                                                                                                                                                                                                                                   ;M;1007
2015;Giuridico                                                                                                                                                                                                                                                 ;F;12271
2015;Giuridico                                                                                                                                                                                                                                                 ;M;8749
2015;Informatica e Tecnologie ICT                                                                                                                                                                                                                              ;F;443
2015;Informatica e Tecnologie ICT                                                                                                                                                                                                                              ;M;2464
2015;Ingegneria industriale e dell'informazione                                                                                                                                                                                                                ;F;7159
2015;Ingegneria industriale e dell'informazione                                                                                                                                                                                                                ;M;23949
2015;Letterario-Umanistico                                                                                                                                                                                                                                     ;F;10263
2015;Letterario-Umanistico                                                                                                                                                                                                                                     ;M;5333
2015;Linguistico                                                                                                                                                                                                                                               ;F;15722
2015;Linguistico                                                                                                                                                                                                                                               ;M;2711
2015;Medico-Sanitario e Farmaceutico                                                                                                                                                                                                                           ;F;28497
2015;Medico-Sanitario e Farmaceutico                                                                                                                                                                                                                           ;M;13054
2015;Politico-Sociale e Comunicazione                                                                                                                                                                                                                          ;F;15020
2015;Politico-Sociale e Comunicazione                                                                                                                                                                                                                          ;M;10070
2015;Psicologico                                                                                                                                                                                                                                               ;F;12124
2015;Psicologico                                                                                                                                                                                                                                               ;M;2433
2015;Scientifico                                                                                                                                                                                                                                               ;F;15308
2015;Scientifico                                                                                                                                                                                                                                               ;M;10070
2015;Scienze motorie e sportive                                                                                                                                                                                                                                ;F;1814
2015;Scienze motorie e sportive                                                                                                                                                                                                                                ;M;3435
2014;Agrario-Forestale e Veterinario                                                                                                                                                                                                                           ;F;3036
2014;Agrario-Forestale e Veterinario                                                                                                                                                                                                                           ;M;3292
2014;Architettura e Ingegneria civile                                                                                                                                                                                                                          ;F;10133
2014;Architettura e Ingegneria civile                                                                                                                                                                                                                          ;M;12388
2014;Arte e Design                                                                                                                                                                                                                                             ;F;7727
2014;Arte e Design                                                                                                                                                                                                                                             ;M;3102
2014;Economico                                                                                                                                                                                                                                                 ;F;25657
2014;Economico                                                                                                                                                                                                                                                 ;M;23991
2014;Educazione e Formazione                                                                                                                                                                                                                                   ;F;16080
2014;Educazione e Formazione                                                                                                                                                                                                                                   ;M;1269
2014;Giuridico                                                                                                                                                                                                                                                 ;F;12218
2014;Giuridico                                                                                                                                                                                                                                                 ;M;9156
2014;Informatica e Tecnologie ICT                                                                                                                                                                                                                              ;F;435
2014;Informatica e Tecnologie ICT                                                                                                                                                                                                                              ;M;2551
2014;Ingegneria industriale e dell'informazione                                                                                                                                                                                                                ;F;6781
2014;Ingegneria industriale e dell'informazione                                                                                                                                                                                                                ;M;23009
2014;Letterario-Umanistico                                                                                                                                                                                                                                     ;F;10886
2014;Letterario-Umanistico                                                                                                                                                                                                                                     ;M;5178
2014;Linguistico                                                                                                                                                                                                                                               ;F;15386
2014;Linguistico                                                                                                                                                                                                                                               ;M;2662
2014;Medico-Sanitario e Farmaceutico                                                                                                                                                                                                                           ;F;28801
2014;Medico-Sanitario e Farmaceutico                                                                                                                                                                                                                           ;M;12789
2014;Politico-Sociale e Comunicazione                                                                                                                                                                                                                          ;F;15760
2014;Politico-Sociale e Comunicazione                                                                                                                                                                                                                          ;M;10665
2014;Psicologico                                                                                                                                                                                                                                               ;F;12306
2014;Psicologico                                                                                                                                                                                                                                               ;M;2499
2014;Scientifico                                                                                                                                                                                                                                               ;F;15027
2014;Scientifico                                                                                                                                                                                                                                               ;M;10177
2014;Scienze motorie e sportive                                                                                                                                                                                                                                ;F;1861
2014;Scienze motorie e sportive                                                                                                                                                                                                                                ;M;3273
2013;Agrario-Forestale e Veterinario                                                                                                                                                                                                                           ;F;2787
2013;Agrario-Forestale e Veterinario                                                                                                                                                                                                                           ;M;3163
2013;Architettura e Ingegneria civile                                                                                                                                                                                                                          ;F;10244
2013;Architettura e Ingegneria civile                                                                                                                                                                                                                          ;M;12185
2013;Arte e Design                                                                                                                                                                                                                                             ;F;8379
2013;Arte e Design                                                                                                                                                                                                                                             ;M;3305
2013;Economico                                                                                                                                                                                                                                                 ;F;25231
2013;Economico                                                                                                                                                                                                                                                 ;M;23416
2013;Educazione e Formazione                                                                                                                                                                                                                                   ;F;15251
2013;Educazione e Formazione                                                                                                                                                                                                                                   ;M;1269
2013;Giuridico                                                                                                                                                                                                                                                 ;F;12077
2013;Giuridico                                                                                                                                                                                                                                                 ;M;8790
2013;Informatica e Tecnologie ICT                                                                                                                                                                                                                              ;F;449
2013;Informatica e Tecnologie ICT                                                                                                                                                                                                                              ;M;2660
2013;Ingegneria industriale e dell'informazione                                                                                                                                                                                                                ;F;6457
2013;Ingegneria industriale e dell'informazione                                                                                                                                                                                                                ;M;22652
2013;Letterario-Umanistico                                                                                                                                                                                                                                     ;F;11216
2013;Letterario-Umanistico                                                                                                                                                                                                                                     ;M;5466
2013;Linguistico                                                                                                                                                                                                                                               ;F;15571
2013;Linguistico                                                                                                                                                                                                                                               ;M;2605
2013;Medico-Sanitario e Farmaceutico                                                                                                                                                                                                                           ;F;28924
2013;Medico-Sanitario e Farmaceutico                                                                                                                                                                                                                           ;M;13251
2013;Politico-Sociale e Comunicazione                                                                                                                                                                                                                          ;F;16523
2013;Politico-Sociale e Comunicazione                                                                                                                                                                                                                          ;M;11729
2013;Psicologico                                                                                                                                                                                                                                               ;F;12199
2013;Psicologico                                                                                                                                                                                                                                               ;M;2452
2013;Scientifico                                                                                                                                                                                                                                               ;F;15008
2013;Scientifico                                                                                                                                                                                                                                               ;M;10177
2013;Scienze motorie e sportive                                                                                                                                                                                                                                ;F;1682
2013;Scienze motorie e sportive                                                                                                                                                                                                                                ;M;2881
2012;Agrario-Forestale e Veterinario                                                                                                                                                                                                                           ;F;2556
2012;Agrario-Forestale e Veterinario                                                                                                                                                                                                                           ;M;3090
2012;Architettura e Ingegneria civile                                                                                                                                                                                                                          ;F;9691
2012;Architettura e Ingegneria civile                                                                                                                                                                                                                          ;M;12077
2012;Arte e Design                                                                                                                                                                                                                                             ;F;8574
2012;Arte e Design                                                                                                                                                                                                                                             ;M;3407
2012;Economico                                                                                                                                                                                                                                                 ;F;24689
2012;Economico                                                                                                                                                                                                                                                 ;M;22197
2012;Educazione e Formazione                                                                                                                                                                                                                                   ;F;14910
2012;Educazione e Formazione                                                                                                                                                                                                                                   ;M;1337
2012;Giuridico                                                                                                                                                                                                                                                 ;F;11776
2012;Giuridico                                                                                                                                                                                                                                                 ;M;8876
2012;Informatica e Tecnologie ICT                                                                                                                                                                                                                              ;F;524
2012;Informatica e Tecnologie ICT                                                                                                                                                                                                                              ;M;2626
2012;Ingegneria industriale e dell'informazione                                                                                                                                                                                                                ;F;6324
2012;Ingegneria industriale e dell'informazione                                                                                                                                                                                                                ;M;22658
2012;Letterario-Umanistico                                                                                                                                                                                                                                     ;F;10907
2012;Letterario-Umanistico                                                                                                                                                                                                                                     ;M;5340
2012;Linguistico                                                                                                                                                                                                                                               ;F;15382
2012;Linguistico                                                                                                                                                                                                                                               ;M;2374
2012;Medico-Sanitario e Farmaceutico                                                                                                                                                                                                                           ;F;27742
2012;Medico-Sanitario e Farmaceutico                                                                                                                                                                                                                           ;M;12419
2012;Politico-Sociale e Comunicazione                                                                                                                                                                                                                          ;F;16761
2012;Politico-Sociale e Comunicazione                                                                                                                                                                                                                          ;M;12339
2012;Psicologico                                                                                                                                                                                                                                               ;F;12362
2012;Psicologico                                                                                                                                                                                                                                               ;M;2304
2012;Scientifico                                                                                                                                                                                                                                               ;F;15115
2012;Scientifico                                                                                                                                                                                                                                               ;M;10078
2012;Scienze motorie e sportive                                                                                                                                                                                                                                ;F;1709
2012;Scienze motorie e sportive                                                                                                                                                                                                                                ;M;2692
2011;Agrario-Forestale e Veterinario                                                                                                                                                                                                                           ;F;2544
2011;Agrario-Forestale e Veterinario                                                                                                                                                                                                                           ;M;3041
2011;Architettura e Ingegneria civile                                                                                                                                                                                                                          ;F;9311
2011;Architettura e Ingegneria civile                                                                                                                                                                                                                          ;M;11867
2011;Arte e Design                                                                                                                                                                                                                                             ;F;8606
2011;Arte e Design                                                                                                                                                                                                                                             ;M;3367
2011;Economico                                                                                                                                                                                                                                                 ;F;23701
2011;Economico                                                                                                                                                                                                                                                 ;M;21613
2011;Educazione e Formazione                                                                                                                                                                                                                                   ;F;14881
2011;Educazione e Formazione                                                                                                                                                                                                                                   ;M;1450
2011;Giuridico                                                                                                                                                                                                                                                 ;F;11895
2011;Giuridico                                                                                                                                                                                                                                                 ;M;8810
2011;Informatica e Tecnologie ICT                                                                                                                                                                                                                              ;F;494
2011;Informatica e Tecnologie ICT                                                                                                                                                                                                                              ;M;2856
2011;Ingegneria industriale e dell'informazione                                                                                                                                                                                                                ;F;5869
2011;Ingegneria industriale e dell'informazione                                                                                                                                                                                                                ;M;21658
2011;Letterario-Umanistico                                                                                                                                                                                                                                     ;F;10521
2011;Letterario-Umanistico                                                                                                                                                                                                                                     ;M;5125
2011;Linguistico                                                                                                                                                                                                                                               ;F;14748
2011;Linguistico                                                                                                                                                                                                                                               ;M;2431
2011;Medico-Sanitario e Farmaceutico                                                                                                                                                                                                                           ;F;27228
2011;Medico-Sanitario e Farmaceutico                                                                                                                                                                                                                           ;M;12275
2011;Politico-Sociale e Comunicazione                                                                                                                                                                                                                          ;F;16938
2011;Politico-Sociale e Comunicazione                                                                                                                                                                                                                          ;M;12835
2011;Psicologico                                                                                                                                                                                                                                               ;F;12104
2011;Psicologico                                                                                                                                                                                                                                               ;M;2379
2011;Scientifico                                                                                                                                                                                                                                               ;F;14715
2011;Scientifico                                                                                                                                                                                                                                               ;M;9784
2011;Scienze motorie e sportive                                                                                                                                                                                                                                ;F;1469
2011;Scienze motorie e sportive                                                                                                                                                                                                                                ;M;2507
2010;Agrario-Forestale e Veterinario                                                                                                                                                                                                                           ;F;2278
2010;Agrario-Forestale e Veterinario                                                                                                                                                                                                                           ;M;2968
2010;Architettura e Ingegneria civile                                                                                                                                                                                                                          ;F;8894
2010;Architettura e Ingegneria civile                                                                                                                                                                                                                          ;M;11152
2010;Arte e Design                                                                                                                                                                                                                                             ;F;8592
2010;Arte e Design                                                                                                                                                                                                                                             ;M;3731
2010;Economico                                                                                                                                                                                                                                                 ;F;23637
2010;Economico                                                                                                                                                                                                                                                 ;M;20419
2010;Educazione e Formazione                                                                                                                                                                                                                                   ;F;13217
2010;Educazione e Formazione                                                                                                                                                                                                                                   ;M;1267
2010;Giuridico                                                                                                                                                                                                                                                 ;F;11940
2010;Giuridico                                                                                                                                                                                                                                                 ;M;8119
2010;Informatica e Tecnologie ICT                                                                                                                                                                                                                              ;F;625
2010;Informatica e Tecnologie ICT                                                                                                                                                                                                                              ;M;3206
2010;Ingegneria industriale e dell'informazione                                                                                                                                                                                                                ;F;5641
2010;Ingegneria industriale e dell'informazione                                                                                                                                                                                                                ;M;21609
2010;Letterario-Umanistico                                                                                                                                                                                                                                     ;F;9701
2010;Letterario-Umanistico                                                                                                                                                                                                                                     ;M;5047
2010;Linguistico                                                                                                                                                                                                                                               ;F;14259
2010;Linguistico                                                                                                                                                                                                                                               ;M;2260
2010;Medico-Sanitario e Farmaceutico                                                                                                                                                                                                                           ;F;25594
2010;Medico-Sanitario e Farmaceutico                                                                                                                                                                                                                           ;M;11861
2010;Politico-Sociale e Comunicazione                                                                                                                                                                                                                          ;F;16573
2010;Politico-Sociale e Comunicazione                                                                                                                                                                                                                          ;M;12645
2010;Psicologico                                                                                                                                                                                                                                               ;F;11576
2010;Psicologico                                                                                                                                                                                                                                               ;M;2065
2010;Scientifico                                                                                                                                                                                                                                               ;F;14255
2010;Scientifico                                                                                                                                                                                                                                               ;M;9361
2010;Scienze motorie e sportive                                                                                                                                                                                                                                ;F;1402
2010;Scienze motorie e sportive                                                                                                                                                                                                                                ;M;2281
